#1=α 2=αD 3=σ 4=dq 5=qh 6=dp 7=dph 8=pd 9=dpdh 10=m 11=mh 
30.0 0.010767009999999999 sign 0.0004966572173446456 86029.09739017568 0.004264318375150289 0.638468281574229 75.28683345077766 30.92273669367183 8.317975452643361e-8 0.000156927694702838
29.0 0.010755009999999999 sign 0.0005131670556016002 83361.32130398163 0.004406464080743009 0.6385300735936413 75.35391525881327 30.95607312952521 8.605175270465193e-8 0.00015712393025914208
28.0 0.01074201 sign 0.0005308042662856154 80696.23675843092 0.004558377811375429 0.6385961234187284 75.42686301654878 30.99222614074414 8.910916264055666e-8 0.0001573013366049411
27.0 0.010729009999999999 sign 0.0005497416828789668 78018.75643065716 0.00472134411933586 0.6386669978911604 75.49942291871336 31.028702715500906 9.249598522647629e-8 0.00015765611454130615
25.0 0.01069901 sign 0.0005919301145754364 72677.37679624002 0.0050846965068743095 0.6388250693538363 75.66819737971788 31.112940388645995 9.932689828596282e-8 0.00015723495486070195
24.0 0.010682009999999999 sign 0.0006155387122683446 70009.6873178515 0.005288139025629335 0.6389136053989728 75.76438469213223 31.16082967568152 1.030323731322698e-7 0.00015684643417471718
23.0 0.01066401 sign 0.0006411323299150125 67337.49128937285 0.005508649414665264 0.6390095979398499 75.86630393782805 31.211810814439225 1.0758695042437159e-7 0.00015724313436005495
22.0 0.010644009999999999 sign 0.000668921077118414 64670.71779873538 0.005748237644314121 0.6391139236796536 75.9802320840675 31.2685388711201 1.1239996274555689e-7 0.00015745460609713192
20.0 0.010599009999999999 sign 0.0007324577942622536 59331.44392460564 0.006296118759541258 0.6393526175976492 76.23769469144521 31.397142796056684 1.2327096035666104e-7 0.00015770710966740234
19.0 0.010573009999999999 sign 0.0007689698469533948 56664.08771666932 0.006611156299058166 0.6394899447306609 76.38753200568293 31.47190746504952 1.2884097278664205e-7 0.0001570084973265941
18.0 0.01054401 sign 0.0008092943116213995 54000.10971570056 0.006959304832968125 0.6396417679660779 76.5557003609925 31.55565758830033 1.362527151670522e-7 0.00015776964643366553
17.0 0.010512009999999999 sign 0.0008540991692470907 51335.122499610676 0.007346247756785329 0.6398105905261816 76.74220214960363 31.648662867228428 1.4311938273316896e-7 0.00015702965951721674
14.0 0.01039101 sign 0.0010242674378339045 43343.63739333611 0.00881732492554326 0.6404531933782461 77.45741808992693 32.00563584457004 1.7210696125526144e-7 0.00015747146692950977
13.0 0.01033901 sign 0.0010971184675209688 40684.56901045791 0.009447983585654365 0.6407290524685768 77.77002474981504 32.16154860081232 1.8446628682207024e-7 0.0001575765045528362
12.0 0.01027901 sign 0.001181127672796744 38028.1490442787 0.010175867142526086 0.6410477175932568 78.13465663912368 32.34339012310266 1.989779713265253e-7 0.0001578880136742948
11.0 0.01020901 sign 0.001279071704648319 35375.09822832107 0.011025353977340082 0.6414199978050702 78.56547826487538 32.55821551300284 2.1535589741519134e-7 0.00015780408843453375
10.0 0.010127009999999999 sign 0.001394825927138525 32722.019567409807 0.012030148235663207 0.6418608760505278 79.0772411916042 32.81382733814042 2.3465179245520092e-7 0.00015768038697396038
9.0 0.010028009999999999 sign 0.001533538172376156 30077.96377640018 0.013236280959569077 0.6423908418565801 79.70665551461546 33.12777443593675 2.581506489519395e-7 0.00015778818666789562
8.0 0.009907009999999999 sign 0.001702897296391354 27441.839758784303 0.014711568677908304 0.6430401908911095 80.4930040336809 33.5199371480976 2.8710015734369305e-7 0.00015804045142150721
7.5 0.00983601 sign 0.0018024606894474946 26126.862277209275 0.015580145367261308 0.643423075210768 80.9632858752559 33.75455997938614 3.048484159240039e-7 0.0001585468353125775
7.0 0.009756009999999999 sign 0.001914372858281616 24815.842629970582 0.01655780124616927 0.6438545528005443 81.50145417147313 34.022943532343085 3.238912814413197e-7 0.00015861005843217427
6.5 0.00966501 sign 0.0020410444905539296 23510.497717576796 0.01766632363824479 0.6443444351532996 82.12466272173337 34.33348010594587 3.4600888265309573e-7 0.00015893317135535237
5.5 0.009442009999999999 sign 0.002352620080872267 20912.879458819956 0.02039985311681257 0.6455554511636629 83.70179043126299 35.11991291153536 3.9754696756998183e-7 0.00015844186087395353
5.0 0.009303009999999999 sign 0.0025471619248678516 19624.428138800246 0.02211193156744271 0.6463161177219983 84.72268912189672 35.629180611679715 4.3116503874327556e-7 0.00015872820507547121
4.5 0.00913801 sign 0.002776618570732314 18349.96165995936 0.024137965495354328 0.6472184103123535 85.97524897359605 36.25341750379458 4.726732902392991e-7 0.00015964447549877942
4.0 0.00894101 sign 0.003051892308208638 17087.625699745684 0.026576001935007934 0.6483073309138911 87.53023075328329 37.029072711619385 5.181231860531823e-7 0.0001592293177038775
3.0 0.00839801 sign 0.003806750343035318 14643.674849116476 0.03331499407159753 0.6513349142632345 92.19285733218177 39.353789957081446 6.507895874674541e-7 0.00016039557576513126
2.5 0.00801001 sign 0.004344536483908494 13491.281902601191 0.03816642906141245 0.6535306772813163 95.90931334032899 41.206881195427314 7.461432912310175e-7 0.00016117460825176158
2.0 0.00749301 sign 0.005060590899772456 12429.328517440394 0.04469594011363904 0.6565075105643037 101.45456602496088 43.97314659275222 8.750925808869521e-7 0.00016234058743042366
1.5 0.00676801 sign 0.0060614691181058306 11551.358703463819 0.0539749565867424 0.6607806502947249 110.64655384407308 48.560950363438856 1.0560251712028348e-6 0.0001636467281641964
1.0 0.0056760099999999996 sign 0.007561968905597305 11132.952304828368 0.06827558016439955 0.6674656664297685 128.8856967740646 57.67421607749003 1.3285879231175351e-6 0.0001651819902231898
0.95 0.00553601 sign 0.007755156189475645 11142.314683918168 0.07015185655564717 0.668351868864219 131.73963503826755 59.102305017780395 1.3692235118264473e-6 0.00016601391879381258
0.9 0.0053880099999999995 sign 0.007958010595190874 11169.367678221415 0.0721353489676409 0.6692909230850999 134.91742079891813 60.691992890101396 1.410871106048642e-6 0.00016672542819533076
0.85 0.00523201 sign 0.008172197514751449 11214.592257828757 0.07424006551408271 0.6702899857858966 138.45994155912936 62.46493462499558 1.4457356803960339e-6 0.00016639152024747477
0.8 0.00506601 sign 0.008396751790783587 11286.713596332982 0.0764690300626398 0.6713506976469278 142.4691641924101 64.46979224597636 1.4938863100704711e-6 0.00016736207528732867
0.7 0.00470601 sign 0.00888911175470526 11509.735687595767 0.08139027208184285 0.6737036438837222 152.12543114373923 69.30524452393418 1.5908802376096031e-6 0.00016841507554589714
0.65 0.00450901 sign 0.009157846431854773 11678.311447001868 0.08410815583983691 0.675009374902049 158.05814274515086 72.27731800517344 1.6413457414452777e-6 0.00016869182516634823
0.6 0.00429901 sign 0.00944318692963275 11898.485868807065 0.08702200544423748 0.6764141622915437 164.9777610076047 75.74444442036425 1.6962871145914488e-6 0.00016910712895174736
0.55 0.00407501 sign 0.009747404786242676 12182.584437995092 0.09015812529623672 0.677931897778072 173.13985083876213 79.83596434746521 1.7530605371726542e-6 0.00016935241806345392
0.5 0.00383601 sign 0.010073685918920687 12546.809565060881 0.093550119438501 0.6795804233653188 182.89230301026538 84.728680942661 1.8264844942065501e-6 0.00017077391500253269
0.45 0.0035790099999999997 sign 0.010421331753254846 13026.302709596835 0.09721762218766335 0.6813705306450819 194.8262996288043 90.71618907774481 1.8937178113021454e-6 0.00017120253571261616
0.4 0.00330301 sign 0.010795330765065142 13656.777210763123 0.10121136351944796 0.6833294138324997 209.69929754273116 98.18332582496882 1.9752458174709637e-6 0.00017244071525606428
0.35 0.00300501 sign 0.01119676449767172 14508.649564833351 0.10557049006653042 0.6854785916884872 228.8117859683404 107.7824941360218 2.0571473833768943e-6 0.0001732131869435265
0.3 0.00268301 sign 0.011631518367242761 15685.055025388623 0.11036491397948098 0.6878562221041225 254.21413604983854 120.55051805848107 2.148873258643272e-6 0.0001742419794560486
0.25 0.00233301 sign 0.012100913754249428 17390.16821660479 0.11565468389870616 0.690495917492966 289.75012015426205 138.42054554169403 2.2532916336221297e-6 0.00017569996320066178
0.2 0.00195201 sign 0.012613870868530094 20005.682216015994 0.12155119713013825 0.6934595496068324 342.87131660462046 165.1565543850678 2.371915076360756e-6 0.00017751739265116064
0.15 0.00153401 sign 0.013168500740246641 24474.633601457175 0.12813671233121135 0.6967946347062484 431.43466660555754 209.74848597508543 2.4952554828179646e-6 0.0001789881734935245
0.1 0.00107501 sign 0.013784209975936355 33505.520013526315 0.1356273380273788 0.7006230580305488 607.8644683059712 298.66424253475384 2.6460846642154875e-6 0.00018144959940111585
0.085 0.0009280100000000001 sign 0.01398004922499013 38321.614348691655 0.13807128955398734 0.7018798493298017 701.2252562853826 345.7295249858645 2.6918412015058392e-6 0.0001820419395200577
0.08 0.00087801 sign 0.014046883770178495 40330.17979630959 0.13890996574555112 0.702312070348251 740.1002404309453 365.33024435308636 2.7111466766497324e-6 0.00018248903052469736
0.075 0.00082701 sign 0.01410709614958764 42652.41309941212 0.13972480473321908 0.7027311855684042 784.5996267849142 387.7415887855009 2.715151983169796e-6 0.00018199544815587266
0.07 0.00077601 sign 0.01417573525321429 45257.534953107446 0.14058967108864995 0.7031779150801106 834.9365043156109 413.1242549747253 2.7372745133842614e-6 0.00018260407322861363
0.065 0.00072501 sign 0.014254739228010627 48200.130332675195 0.14151450789269437 0.7036578341746554 892.3419261823616 442.11175832007876 2.7495148619491967e-6 0.00018241477923787956
0.06 0.00067301 sign 0.014327543737202623 51687.48332378568 0.14241831592112877 0.7041262282285597 959.8354431470285 476.16340645940795 2.7777261303342483e-6 0.00018336370218170365
0.055 0.00062001 sign 0.014392499102433141 55878.53498914689 0.14329307779096997 0.7045786023282884 1040.2821291215946 516.7116657734505 2.7850547570709643e-6 0.00018303493207833573
0.05 0.0005670100000000001 sign 0.014470237032277468 60807.73518150997 0.14424068157107658 0.7050713945490479 1135.7489963016847 564.8937398496488 2.8131967204022165e-6 0.0001839041606086899
